DateTime;DoctorID;Type;City;;;;
16.03.2020 12:00;1;GP;Warsaw;;;;
16.03.2020 12:01;1;GP;Warsaw;;;;
16.03.2020 12:02;1;GP;Warsaw;;;;
16.03.2020 12:03;1;GP;Warsaw;;;;
16.03.2020 12:04;1;GP;Warsaw;;;;
16.03.2020 12:05;1;GP;Warsaw;;;;
16.03.2020 12:06;1;GP;Warsaw;;;;
16.03.2020 12:07;1;GP;Warsaw;;;;
16.03.2020 12:08;1;GP;Warsaw;;;;
16.03.2020 12:09;1;GP;Warsaw;;;;
16.03.2020 12:10;1;GP;Warsaw;;;;
16.03.2020 12:11;1;GP;Warsaw;;;;
16.03.2020 12:12;1;GP;Warsaw;;;;
16.03.2020 12:13;1;GP;Warsaw;;;;
16.03.2020 12:14;1;GP;Warsaw;;;;
16.03.2020 12:15;1;GP;Warsaw;;;;
16.03.2020 12:16;1;GP;Warsaw;;;;
16.03.2020 12:00;2;GP;Krakow;;;;
16.03.2020 12:01;2;GP;Krakow;;;;
16.03.2020 12:02;2;GP;Krakow;;;;
16.03.2020 12:03;2;GP;Krakow;;;;
16.03.2020 12:04;2;GP;Krakow;;;;
16.03.2020 12:05;2;GP;Krakow;;;;
16.03.2020 12:06;2;GP;Krakow;;;;
16.03.2020 12:07;2;GP;Krakow;;;;
16.03.2020 12:08;2;GP;Krakow;;;;
16.03.2020 12:09;2;GP;Krakow;;;;
16.03.2020 12:10;2;GP;Krakow;;;;
16.03.2020 12:11;2;GP;Krakow;;;;
16.03.2020 12:12;2;GP;Krakow;;;;
16.03.2020 12:13;2;GP;Krakow;;;;
16.03.2020 12:14;2;GP;Krakow;;;;
16.03.2020 12:15;2;GP;Krakow;;;;
16.03.2020 12:16;2;GP;Krakow;;;;
16.03.2020 12:17;2;GP;Krakow;;;;
16.03.2020 12:18;2;GP;Krakow;;;;
16.03.2020 12:19;2;GP;Krakow;;;;
16.03.2020 12:20;2;GP;Krakow;;;;
16.03.2020 12:21;2;GP;Krakow;;;;
16.03.2020 12:22;2;GP;Krakow;;;;
16.03.2020 12:23;2;GP;Krakow;;;;
16.03.2020 12:24;2;GP;Krakow;;;;
16.03.2020 12:25;2;GP;Krakow;;;;
16.03.2020 12:26;2;GP;Krakow;;;;
16.03.2020 12:27;2;GP;Krakow;;;;
16.03.2020 12:28;2;GP;Krakow;;;;
16.03.2020 12:29;2;GP;Krakow;;;;
16.03.2020 12:30;2;GP;Krakow;;;;
16.03.2020 12:31;2;GP;Krakow;;;;
16.03.2020 12:32;2;GP;Krakow;;;;
16.03.2020 12:33;2;GP;Krakow;;;;
16.03.2020 12:34;2;GP;Krakow;;;;
16.03.2020 12:35;2;GP;Krakow;;;;
16.03.2020 12:36;2;GP;Krakow;;;;
16.03.2020 12:37;2;GP;Krakow;;;;
16.03.2020 12:38;2;GP;Krakow;;;;
16.03.2020 12:39;2;GP;Krakow;;;;
16.03.2020 12:40;2;GP;Krakow;;;;
16.03.2020 12:41;2;GP;Krakow;;;;
16.03.2020 12:42;2;GP;Krakow;;;;
16.03.2020 12:43;2;GP;Krakow;;;;
16.03.2020 12:44;2;GP;Krakow;;;;
16.03.2020 12:45;2;GP;Krakow;;;;
16.03.2020 12:46;2;GP;Krakow;;;;
16.03.2020 12:47;2;GP;Krakow;;;;
16.03.2020 12:48;2;GP;Krakow;;;;
16.03.2020 12:49;2;GP;Krakow;;;;
16.03.2020 13:49;1;GP;Warsaw;;;;
16.03.2020 13:50;1;GP;Warsaw;;;;
16.03.2020 13:51;1;GP;Warsaw;;;;
16.03.2020 13:52;1;GP;Warsaw;;;;
16.03.2020 13:53;1;GP;Warsaw;;;;
16.03.2020 13:54;1;GP;Warsaw;;;;
16.03.2020 13:55;1;GP;Warsaw;;;;
16.03.2020 13:56;1;GP;Warsaw;;;;
16.03.2020 13:57;1;GP;Warsaw;;;;
16.03.2020 13:58;1;GP;Warsaw;;;;
16.03.2020 13:59;1;GP;Warsaw;;;;
16.03.2020 14:00;1;GP;Warsaw;;;;
16.03.2020 14:01;1;GP;Warsaw;;;;
22.03.2020 08:01;3;Sugreon;Warsaw;;;;
22.03.2020 08:02;3;Sugreon;Warsaw;;;;
22.03.2020 08:03;3;Sugreon;Warsaw;;;;
22.03.2020 08:04;3;Sugreon;Warsaw;;;;
22.03.2020 08:05;3;Sugreon;Warsaw;;;;
22.03.2020 08:06;3;Sugreon;Warsaw;;;;
22.03.2020 08:07;3;Sugreon;Warsaw;;;;
22.03.2020 08:08;3;Sugreon;Warsaw;;;;
22.03.2020 08:09;3;Sugreon;Warsaw;;;;
22.03.2020 08:10;3;Sugreon;Warsaw;;;;
22.03.2020 08:11;3;Sugreon;Warsaw;;;;
22.03.2020 08:12;3;Sugreon;Warsaw;;;;
22.03.2020 08:13;3;Sugreon;Warsaw;;;;
22.03.2020 08:14;3;Sugreon;Warsaw;;;;
22.03.2020 08:15;3;Sugreon;Warsaw;;;;
22.03.2020 08:16;3;Sugreon;Warsaw;;;;
22.03.2020 08:17;3;Sugreon;Warsaw;;;;
22.03.2020 08:18;3;Sugreon;Warsaw;;;;
22.03.2020 08:19;3;Sugreon;Warsaw;;;;
